CardId,Name,EnergyType,ImageUrl,HP,Ability,AbilityDescription,Regulation,Expansion
47296,ヒビキのカイロス,草,/assets/images/card_images/large/SV9a/047296_P_HIBIKINOKAIROSU.jpg,120,,,,SV9a
47297,ヤンヤンマ,草,/assets/images/card_images/large/SV9a/047297_P_YANYANMA.jpg,70,,,,SV9a
47298,メガヤンマex,草,/assets/images/card_images/large/SV9a/047298_P_MYANMAEX.jpg,280,バズブースト,自分の番に、このポケモンがベンチからバトル場に出たとき、1回使える。自分の山札から「基本エネルギー」を3枚まで選び、このポケモンにつける。そして山札を切る。,,SV9a
47299,シロナのロゼリア,草,/assets/images/card_images/large/SV9a/047299_P_SHIRONANOROZERIA.jpg,70,,,,SV9a
47300,シロナのロズレイド,草,/assets/images/card_images/large/SV9a/047300_P_SHIRONANOROZUREIDO.jpg,130,グローリーエール,このポケモンがいるかぎり、自分の「シロナのポケモン」が使うワザの、相手のバトルポケモンへのダメージは「+30」される。,,SV9a
47301,シェイミ,草,/assets/images/card_images/large/SV9a/047301_P_SHIEIMI.jpg,80,はなのカーテン,このポケモンがいるかぎり、自分のベンチポケモン（「ルールを持つポケモン」をのぞく）全員は、相手のワザのダメージを受けない。,,SV9a
47302,イシズマイ,草,/assets/images/card_images/large/SV9a/047302_P_ISHIZUMAI.jpg,70,,,,SV9a
47303,イワパレス,草,/assets/images/card_images/large/SV9a/047303_P_IWAPARESU.jpg,150,しんぴのいしやど,このポケモンは、相手の「ポケモンex」からワザのダメージを受けない。,,SV9a
47304,カジッチュ,草,/assets/images/card_images/large/SV9a/047304_P_KAJITCHIXYU.jpg,40,,,,SV9a
47305,カミッチュ,草,/assets/images/card_images/large/SV9a/047305_P_KAMITCHIXYU.jpg,90,,,,SV9a
47306,カミツオロチ,草,/assets/images/card_images/large/SV9a/047306_P_KAMITSUOROCHI.jpg,170,,,,SV9a
47307,オーガポン みどりのめん,草,/assets/images/card_images/large/SV9a/047307_P_OGAPONMIDORINOMEN.jpg,110,,,,SV9a
47308,ポニータ,炎,/assets/images/card_images/large/SV9a/047308_P_PONITA.jpg,70,,,,SV9a
47309,ギャロップ,炎,/assets/images/card_images/large/SV9a/047309_P_GIXYAROPPU.jpg,110,いそぎあし,自分の番に1回使える。自分の山札を1枚引く。,,SV9a
47310,ヒビキのヒノアラシ,炎,/assets/images/card_images/large/SV9a/047310_P_HIBIKINOHINOARASHI.jpg,70,,,,SV9a
